,id,Concentration,pasture_availability,water_availability,water_type,lat,lon
87,87,average,average,average,ponds,-13.513497483813033,13.526317399341691
88,88,average,insufficient,average,rivers/lakes,7.069467728335201,16.628933157723008
89,89,strong,insufficient,average,rivers/lakes,12.502877902857955,13.410313885436294
90,90,strong,insufficient,average,rivers/lakes,11.936781646819837,13.819208992936227
91,91,average,insufficient,insufficient,well,12.682980994406634,14.113705862910006
92,92,strong,Suffisante,Suffisante,ponds,6.006538432922148,14.801303704452415
93,93,low,Suffisante,Suffisante,ponds,5.549199651577577,14.013295825388514
94,94,average,insufficient,Suffisante,ponds,5.7337395486744365,15.888677791840465
95,95,average,average,Suffisante,ponds,5.2466808588086495,14.809499532188651
96,96,strong,average,insufficient,well,1.4338640756450032,14.320447624151974
97,97,low,insufficient,Suffisante,ponds,10.287493940181806,14.221691913121306
98,98,average,average,average,well,8.532605802396075,14.560958157671681
99,99,average,average,Suffisante,well,-14.82035298415274,14.711220944970703
100,100,strong,insufficient,average,well,-15.149755697172887,14.751335018047502
101,101,average,average,average,ponds,-13.960370754985163,15.298404289890563
102,102,very weak/absence,average,insufficient,ponds,-15.40129358759777,16.527626840889777
103,103,very strong,insufficient,average,well,-16.38161357689469,16.20637536459532
104,104,low,insufficient,average,ponds,-13.856420191227233,16.074671355880742
105,105,average,average,Suffisante,well,-15.09204601133919,16.51774993205639
106,106,average,average,Suffisante,ponds,-14.506619552234394,16.498798752579248
107,107,low,average,Suffisante,rivers/lakes,-12.619643923043482,14.997820746978828
108,108,low,insufficient,average,well,-14.491712777412724,14.435960636941488
